Time,Temperature(C),Deviation(mK),Current(mA)
0.00:00:00.000,37,998,-2,-975
0.00:00:00.171,37,996,-4,-978
0.00:00:01.372,37,999,-1,-980
0.00:00:02.508,37,995,-5,-981
0.00:00:03.645,37,998,-2,-981
0.00:00:04.782,37,995,-5,-981
0.00:00:05.935,37,996,-4,-977
0.00:00:07.072,38,003,3,-975
0.00:00:08.209,38,003,3,-977
0.00:00:09.346,38,001,1,-975
0.00:00:10.498,38,002,2,-976
0.00:00:11.635,38,0,-974
0.00:00:12.773,37,999,-1,-975
0.00:00:13.909,38,0,-974
0.00:00:15.046,37,999,-1,-980
0.00:00:16.199,38,005,5,-973
0.00:00:17.335,38,003,3,-971
0.00:00:18.472,38,003,3,-972
0.00:00:19.609,38,003,3,-970
0.00:00:20.762,38,0,-972
0.00:00:21.899,38,003,3,-970
0.00:00:23.036,38,0,-976
0.00:00:24.172,38,001,1,-971
0.00:00:25.309,38,003,3,-973
0.00:00:26.462,38,001,1,-971
0.00:00:27.599,38,003,3,-967
0.00:00:28.736,38,0,-971
0.00:00:29.873,38,003,3,-972
0.00:00:31.025,38,004,4,-970
0.00:00:32.194,38,006,6,-967
0.00:00:33.331,38,002,2,-966
0.00:00:34.468,38,0,-967
0.00:00:35.605,38,002,2,-968
0.00:00:36.758,38,0,-971
0.00:00:37.894,38,0,-969
0.00:00:39.031,38,0,-972
0.00:00:40.168,37,998,-2,-973
0.00:00:41.305,37,997,-3,-978
0.00:00:42.458,37,994,-6,-979
0.00:00:43.595,37,996,-4,-980
0.00:00:44.731,37,992,-8,-984
0.00:00:45.868,37,999,-1,-978
0.00:00:47.021,37,997,-3,-978
0.00:00:48.158,38,0,-976
0.00:00:49.295,38,002,2,-976
0.00:00:50.432,38,004,4,-972
0.00:00:51.568,37,999,-1,-977
0.00:00:52.721,38,002,2,-980
0.00:00:53.858,38,0,-979
0.00:00:54.995,38,002,2,-976
0.00:00:56.131,38,005,5,-973
0.00:00:57.285,38,001,1,-974
0.00:00:58.420,38,0,-975
0.00:00:59.557,38,001,1,-974
0.00:01:00.694,38,0,-976
0.00:01:01.831,38,0,-975
0.00:01:02.984,37,999,-1,-976
0.00:01:04.121,38,0,-975
0.00:01:05.258,38,001,1,-972
0.00:01:06.395,38,001,1,-975
0.00:01:07.547,38,001,1,-970
0.00:01:08.685,38,001,1,-975
0.00:01:09.821,38,0,-976
0.00:01:10.958,37,997,-3,-978
0.00:01:12.095,38,002,2,-975
0.00:01:13.248,37,995,-5,-979
0.00:01:14.384,37,999,-1,-976
0.00:01:15.521,37,998,-2,-979
0.00:01:16.658,37,998,-2,-984
0.00:01:17.811,37,999,-1,-978
0.00:01:18.948,38,0,-978
0.00:01:20.084,38,001,1,-976
0.00:01:21.221,38,001,1,-976
0.00:01:22.358,38,001,1,-975
0.00:01:23.511,38,0,-972
0.00:01:24.648,38,0,-979
0.00:01:25.785,37,994,-6,-979
0.00:01:26.922,37,998,-2,-979
0.00:01:28.058,38,0,-978
0.00:01:29.211,38,0,-975
0.00:01:30.348,37,999,-1,-977
0.00:01:31.485,38,0,-984
0.00:01:32.622,38,0,-978
0.00:01:33.775,38,002,2,-978
0.00:01:34.911,38,004,4,-976
0.00:01:36.048,38,004,4,-971
0.00:01:37.185,38,004,4,-977
0.00:01:38.322,38,002,2,-972
0.00:01:39.475,37,999,-1,-969
0.00:01:40.612,38,0,-971
0.00:01:41.748,38,001,1,-975
0.00:01:42.885,37,998,-2,-975
0.00:01:44.038,37,999,-1,-978
0.00:01:45.175,37,999,-1,-975
0.00:01:46.312,38,0,-974
0.00:01:47.449,38,0,-974
0.00:01:48.601,37,996,-4,-975
0.00:01:49.738,38,0,-974
0.00:01:50.875,38,001,1,-973
0.00:01:52.012,38,0,-977
0.00:01:53.149,37,999,-1,-975
0.00:01:54.302,37,998,-2,-975
0.00:01:55.438,38,001,1,-974
0.00:01:56.575,38,006,6,-970
0.00:01:57.712,38,005,5,-970
0.00:01:58.849,38,003,3,-973
0.00:02:00.002,38,002,2,-969
0.00:02:01.139,38,004,4,-967
0.00:02:02.275,38,002,2,-970
0.00:02:03.412,38,0,-969
0.00:02:04.565,38,003,3,-969
0.00:02:05.702,37,999,-1,-972
0.00:02:06.839,37,998,-2,-977
0.00:02:07.976,37,998,-2,-978
0.00:02:09.112,37,999,-1,-973
0.00:02:10.265,37,999,-1,-974
0.00:02:11.402,38,0,-975
0.00:02:12.539,38,0,-971
0.00:02:13.676,38,001,1,-970
0.00:02:14.813,38,0,-974
0.00:02:15.965,37,998,-2,-974
0.00:02:17.102,37,997,-3,-977
0.00:02:18.239,38,001,1,-977
0.00:02:19.376,37,998,-2,-975
0.00:02:20.528,38,004,4,-969
0.00:02:21.666,37,998,-2,-972
0.00:02:22.803,37,997,-3,-974
0.00:02:23.939,37,998,-2,-975
0.00:02:25.076,37,999,-1,-973
0.00:02:26.229,37,998,-2,-976
0.00:02:27.365,38,001,1,-976
0.00:02:28.503,37,997,-3,-974
0.00:02:29.640,37,999,-1,-975
0.00:02:30.791,38,002,2,-975
0.00:02:31.928,38,0,-974
0.00:02:33.065,38,004,4,-970
0.00:02:34.203,38,005,5,-972
0.00:02:35.340,38,003,3,-970
0.00:02:36.492,38,001,1,-973
0.00:02:37.628,37,997,-3,-977
0.00:02:38.765,37,998,-2,-977
0.00:02:39.902,37,999,-1,-976
0.00:02:41.039,37,998,-2,-975
0.00:02:42.192,38,002,2,-970
0.00:02:43.328,37,999,-1,-974
0.00:02:44.465,38,004,4,-969
0.00:02:45.602,38,004,4,-971
0.00:02:46.739,38,004,4,-973
0.00:02:47.892,38,004,4,-966
0.00:02:49.029,38,001,1,-968
0.00:02:50.166,38,003,3,-964
0.00:02:51.302,37,997,-3,-967
0.00:02:52.455,38,0,-972
0.00:02:53.592,37,998,-2,-973
0.00:02:54.729,38,005,5,-964
0.00:02:55.866,38,004,4,-963
0.00:02:57.003,38,003,3,-964
0.00:02:58.155,38,001,1,-967
0.00:02:59.292,38,004,4,-964
0.00:03:00.429,38,006,6,-964
0.00:03:01.566,38,004,4,-961
0.00:03:02.703,38,001,1,-964
0.00:03:03.856,38,001,1,-963
0.00:03:04.992,37,998,-2,-962
0.00:03:06.129,37,995,-5,-965
0.00:03:07.266,38,0,-964
0.00:03:08.403,38,002,2,-960
0.00:03:09.556,38,003,3,-964
0.00:03:10.692,38,002,2,-961
0.00:03:11.829,38,0,-965
0.00:03:12.966,37,997,-3,-963
0.00:03:14.119,37,999,-1,-968
0.00:03:15.256,37,998,-2,-969
0.00:03:16.393,37,999,-1,-967
0.00:03:17.530,38,0,-967
0.00:03:18.666,37,999,-1,-972
0.00:03:19.819,38,0,-973
0.00:03:20.956,37,997,-3,-969
0.00:03:22.093,37,996,-4,-970
0.00:03:23.230,37,995,-5,-971
0.00:03:24.367,37,993,-7,-975
0.00:03:25.519,37,996,-4,-973
0.00:03:26.656,37,997,-3,-975
0.00:03:27.793,37,998,-2,-976
0.00:03:28.930,37,996,-4,-983
0.00:03:30.067,37,996,-4,-978
0.00:03:31.220,37,998,-2,-976
0.00:03:32.356,37,995,-5,-979
0.00:03:33.493,37,998,-2,-978
0.00:03:34.630,37,998,-2,-974
0.00:03:35.783,38,001,1,-975
0.00:03:36.920,37,998,-2,-980
0.00:03:38.057,38,001,1,-974
0.00:03:39.194,38,001,1,-971
0.00:03:40.330,38,003,3,-973
0.00:03:41.483,37,998,-2,-976
0.00:03:42.620,38,002,2,-979
0.00:03:43.757,37,999,-1,-975
0.00:03:44.894,38,0,-975
0.00:03:46.046,38,003,3,-975
0.00:03:47.183,38,0,-971
0.00:03:48.320,38,002,2,-972
0.00:03:49.457,38,002,2,-971
0.00:03:50.594,38,001,1,-968
0.00:03:51.747,38,0,-976
0.00:03:52.884,37,997,-3,-976
0.00:03:54.020,38,001,1,-969
0.00:03:55.157,38,002,2,-970
0.00:03:56.310,38,001,1,-973
0.00:03:57.447,38,0,-974
0.00:03:58.584,38,002,2,-972
0.00:03:59.721,38,002,2,-970
0.00:04:00.873,38,002,2,-971
0.00:04:02.010,38,003,3,-972
0.00:04:03.147,38,0,-970
0.00:04:04.316,37,999,-1,-973
0.00:04:05.452,38,001,1,-969
0.00:04:06.589,37,999,-1,-971
0.00:04:07.742,37,999,-1,-973
0.00:04:08.878,37,999,-1,-971
0.00:04:10.015,37,998,-2,-975
0.00:04:11.152,37,997,-3,-976
0.00:04:12.305,38,0,-975
0.00:04:13.443,37,993,-7,-978
0.00:04:14.579,37,998,-2,-973
0.00:04:15.715,37,997,-3,-978
0.00:04:16.852,38,003,3,-972
0.00:04:18.005,37,997,-3,-975
0.00:04:19.142,38,002,2,-974
0.00:04:20.279,38,002,2,-971
0.00:04:21.416,38,003,3,-968
0.00:04:22.568,38,004,4,-968
0.00:04:23.705,38,004,4,-967
0.00:04:24.842,38,003,3,-966
0.00:04:25.979,38,004,4,-966
0.00:04:27.116,38,003,3,-973
0.00:04:28.269,37,998,-2,-972
0.00:04:29.405,38,0,-973
0.00:04:30.542,38,003,3,-970
0.00:04:31.679,38,0,-970
0.00:04:32.832,38,0,-970
0.00:04:33.969,38,002,2,-968
0.00:04:35.106,38,0,-967
0.00:04:36.243,37,999,-1,-970
0.00:04:37.379,38,001,1,-970
0.00:04:38.532,38,001,1,-971
0.00:04:39.669,37,999,-1,-969
0.00:04:40.806,37,999,-1,-971
0.00:04:41.943,38,002,2,-969
0.00:04:43.095,38,002,2,-974
0.00:04:44.232,38,0,-968
0.00:04:45.369,37,997,-3,-971
0.00:04:46.506,37,999,-1,-974
0.00:04:47.643,38,001,1,-967
0.00:04:48.796,38,005,5,-969
0.00:04:49.933,38,003,3,-966
0.00:04:51.069,38,004,4,-965
0.00:04:52.206,38,004,4,-964
0.00:04:53.359,38,003,3,-966
0.00:04:54.496,38,0,-966
0.00:04:55.633,38,002,2,-961
0.00:04:56.770,38,0,-968
0.00:04:57.906,38,004,4,-963
0.00:04:59.059,38,002,2,-963
0.00:05:00.196,38,003,3,-965
0.00:05:01.333,38,001,1,-959
0.00:05:02.470,38,003,3,-961
0.00:05:03.607,38,0,-959
0.00:05:04.759,38,001,1,-965
0.00:05:05.896,37,999,-1,-968
0.00:05:07.033,37,998,-2,-965
0.00:05:08.170,37,997,-3,-964
0.00:05:09.323,37,994,-6,-970
0.00:05:10.460,37,996,-4,-972
0.00:05:11.596,37,997,-3,-968
0.00:05:12.733,37,999,-1,-968
0.00:05:13.870,37,998,-2,-970
0.00:05:15.023,37,999,-1,-967
0.00:05:16.160,37,999,-1,-968
0.00:05:17.297,38,001,1,-971
0.00:05:18.433,37,999,-1,-966
0.00:05:19.570,38,002,2,-967
0.00:05:20.723,38,002,2,-969
0.00:05:21.860,38,001,1,-964
0.00:05:22.997,37,999,-1,-969
0.00:05:24.134,38,005,5,-962
0.00:05:25.269,38,0,-963
0.00:05:26.423,38,001,1,-966
0.00:05:27.560,37,996,-4,-965
0.00:05:28.697,37,999,-1,-968
0.00:05:29.834,37,998,-2,-969
0.00:05:30.987,38,003,3,-964
0.00:05:32.123,38,0,-966
0.00:05:33.260,37,997,-3,-968
0.00:05:34.396,37,996,-4,-970
0.00:05:35.534,37,998,-2,-972
0.00:05:36.687,37,997,-3,-971
0.00:05:37.823,37,998,-2,-973
0.00:05:38.959,37,998,-2,-970
0.00:05:40.097,37,997,-3,-973
0.00:05:41.233,38,003,3,-962
0.00:05:42.386,38,0,-966
0.00:05:43.524,38,001,1,-968
0.00:05:44.660,37,999,-1,-971
0.00:05:45.797,38,0,-969
0.00:05:46.950,38,001,1,-968
0.00:05:48.086,37,998,-2,-967
0.00:05:49.223,38,002,2,-968
0.00:05:50.360,38,001,1,-965
